Created date / time : 31 July 2025 / 14:05:51
Bank 12; Branch 1234; Account 0000001-50 (Everyday1)
From date 20250701
To date 20250731
Avail Bal : 245.67 as of 20250731
Ledger Balance : 245.67 as of 20250731
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2025/07/01,2025070101,EFTPOS,,"CITY CARPARK WELLINGTON","EFTPOS",-12.00
2025/07/02,2025070201,D/C,,"D/C FROM PAYMATE JOHNSON","",150.00
2025/07/05,2025070501,EFTPOS,,"PIZZAHUT WELLINGTON","Dinner",-24.50
2025/07/08,2025070801,EFTPOS,,"BOOKWORLD AUCKLAND","Books",-35.20
2025/07/10,2025071001,BILLPAY,,"POWERCO BILL","Electricity",-80.00
2025/07/12,2025071201,D/C,,"D/C FROM STUDYPINK","LC PAYMENT REF:204689",-120.00
2025/07/15,2025071501,EFTPOS,,"CAFE DELIGHT HAMILTON","Coffee",-15.75
2025/07/18,2025071801,D/C,,"D/C FROM ALICE WONG","Gift",60.00
2025/07/21,2025072101,EFTPOS,,"EXORTS CAR PARK AUCKLAND","EFTPOS",-18.00
2025/07/25,2025072501,EFTPOS,,"MEGAMART AUCKLAND","Groceries",-55.30
2025/07/28,2025072801,EFTPOS,,"MOBILE RECHARGE","EFTPOS",-20.00
2025/07/30,2025073001,D/C,,"D/C FROM SPARK NZ","Refund",30.00
